Timestamp,PT1,PT2,LC,LC_VOLT,Packet Delimiter
2302838,779.34,782.36,-0.40,0.00,-42069
2302869,779.34,782.36,-0.40,0.00,-42069
2302960,779.34,782.36,-0.40,0.00,-42069
2303022,779.34,782.36,-0.40,0.00,-42069
2303052,779.34,782.36,-0.40,0.00,-42069
2303114,779.34,782.36,-0.40,0.00,-42069
2303143,780.56,782.36,-0.40,0.00,-42069
2303297,780.56,782.36,-0.40,0.00,-42069
2303328,779.34,778.73,-0.40,0.00,-42069
2303389,780.56,782.36,-0.40,0.00,-42069
2303419,779.34,782.36,-0.40,0.00,-42069
2303511,779.34,782.36,-0.40,0.00,-42069
2303572,780.56,782.36,-0.40,0.00,-42069
2303634,780.56,782.36,-0.40,0.00,-42069
2303664,779.34,782.36,-0.40,0.00,-42069
2303787,779.34,782.36,-0.40,0.00,-42069
2303848,780.56,782.36,-0.40,0.00,-42069
2303879,780.56,782.36,-0.40,0.00,-42069
2303908,780.56,782.36,-0.40,0.00,-42069
2303939,779.34,782.36,-0.40,0.00,-42069
2304062,780.56,782.36,-0.40,0.00,-42069
2304123,780.56,782.36,-0.40,0.00,-42069
2304153,780.56,782.36,-0.40,0.00,-42069
2304184,780.56,783.57,-0.40,0.00,-42069
2304215,775.70,783.57,-0.40,0.00,-42069
2304337,780.56,783.57,-0.40,0.00,-42069
2304429,780.56,782.36,-0.40,0.00,-42069
2304459,776.91,783.57,-0.40,0.00,-42069
2304490,781.77,783.57,-0.40,0.00,-42069
2304521,780.56,783.57,-0.40,0.00,-42069
2304551,779.34,783.57,-0.40,0.00,-42069
2304673,778.13,783.57,-0.40,0.00,-42069
2304735,780.56,782.36,-0.40,0.00,-42069
2304765,780.56,782.36,-0.40,0.00,-42069
2304796,779.34,783.57,-0.40,0.00,-42069
2304827,781.77,782.36,-0.40,0.00,-42069
2304949,780.56,783.57,-0.40,0.00,-42069
2305010,779.34,783.57,-0.40,0.00,-42069
2305072,780.56,783.57,-0.40,0.00,-42069
2305102,776.91,783.57,-0.40,0.00,-42069
2305133,780.56,783.57,-0.40,0.00,-42069
2305224,779.34,783.57,-0.40,0.00,-42069
2305286,781.77,783.57,-0.40,0.00,-42069
2305316,780.56,783.57,-0.40,0.00,-42069
2305347,780.56,779.94,-0.40,0.00,-42069
2305409,781.77,783.57,-0.40,0.00,-42069
2305500,780.56,783.57,-0.40,0.00,-42069
2305592,776.91,783.57,-0.40,0.00,-42069
2305623,782.98,783.57,-0.40,0.00,-42069
2305653,780.56,783.57,-0.40,0.00,-42069
2305775,780.56,782.36,-0.40,0.00,-42069
2305837,780.56,783.57,-0.40,0.00,-42069
2305867,781.77,784.78,-0.40,0.00,-42069
2305898,780.56,783.57,-0.40,0.00,-42069
2305928,780.56,782.36,-0.40,0.00,-42069
2305958,781.77,779.94,-0.40,0.00,-42069
2306051,780.56,783.57,-0.40,0.00,-42069
2306112,781.77,783.57,-0.40,0.00,-42069
2306143,781.77,783.57,-0.40,0.00,-42069
2306172,781.77,784.78,-0.40,0.00,-42069
2306203,780.56,784.78,-0.40,0.00,-42069
2306234,780.56,783.57,-0.40,0.00,-42069
2306326,780.56,783.57,-0.40,0.00,-42069
2306387,781.77,783.57,-0.40,0.00,-42069
2306417,781.77,783.57,-0.40,0.00,-42069
2306448,780.56,783.57,-0.40,0.00,-42069
2306479,780.56,783.57,-0.40,0.00,-42069
2306509,780.56,784.78,-0.40,0.00,-42069
2306601,781.77,783.57,-0.40,0.00,-42069
2306662,781.77,784.78,-0.40,0.00,-42069
2306693,780.56,784.78,-0.40,0.00,-42069
2306723,780.56,784.78,-0.40,0.00,-42069
2306785,780.56,784.78,-0.40,0.00,-42069
2306877,779.34,784.78,-0.40,0.00,-42069
2306968,779.34,784.78,-0.40,0.00,-42069
2306999,782.98,784.78,-0.40,0.00,-42069
2307060,781.77,784.78,-0.40,0.00,-42069
2307091,781.77,784.78,-0.40,0.00,-42069
2307213,781.77,782.36,-0.40,0.00,-42069
2307305,778.13,784.78,-0.40,0.00,-42069
2307366,781.77,783.57,-0.40,0.00,-42069
2307397,779.34,784.78,-0.40,0.00,-42069
2307488,781.77,784.78,-0.40,0.00,-42069
2307550,782.98,783.57,-0.40,0.00,-42069
2307580,781.77,784.78,-0.40,0.00,-42069
2307611,781.77,784.78,-0.40,0.00,-42069
2307642,781.77,784.78,-0.40,0.00,-42069
2307672,780.56,784.78,-0.40,0.00,-42069
2307764,781.77,783.57,-0.40,0.00,-42069
2307825,782.98,784.78,-0.40,0.00,-42069
2307856,782.98,782.36,-0.40,0.00,-42069
2307887,781.77,783.57,-0.40,0.00,-42069
2307916,782.98,784.78,-0.40,0.00,-42069
2307947,782.98,784.78,-0.40,0.00,-42069
2308039,780.56,784.78,-0.40,0.00,-42069
